Id,MatchId,PlayerId,Average,CheckoutPercentage,Total180s,Total140s,HighestCheckout,LegsWon,SetsWon
230,115,20,93.87,30.77,6,15,107,8,3
231,116,33,83.75,23.53,2,10,110,4,1
232,116,23,90.84,36,3,12,143,9,4
233,117,2,105.47,50,4,11,90,8,4
234,117,5,91.42,0,0,6,0,0,0
235,118,3,98.63,40.91,3,21,140,9,3
236,118,22,97.70,34.48,6,20,141,10,4
237,119,1,104.24,39.13,6,15,106,9,4
238,119,10,97.78,36.36,1,12,85,4,1
239,120,15,97.58,50,7,15,98,10,4
240,120,4,101.28,26.92,4,18,82,7,3
241,121,2,108.80,35,9,23,81,7,2
242,121,6,103.96,60,8,14,138,9,4
243,122,22,100.35,45,7,13,124,9,4
244,122,23,93.87,20,4,9,60,2,1
245,123,1,99.71,35.71,2,13,128,10,5
246,123,15,88.33,38.46,1,15,101,5,2
247,124,6,90.51,31.43,6,16,117,11,5
248,124,22,85.19,26.09,2,11,158,6,2
249,125,1,100.42,29.79,10,32,91,14,6
250,125,6,98.25,41.94,7,30,120,13,5
251,126,7,97.87,60,3,11,72,6,null
252,126,8,96.21,44.44,3,11,124,4,null
253,127,4,94.03,30.77,2,9,137,4,null
254,127,9,97.61,54.55,1,8,80,6,null
255,128,2,113.91,45.45,6,13,161,5,null
256,128,3,105.91,31.58,6,12,114,6,null
257,129,23,95.71,20,1,6,93,2,null
258,129,1,105.19,60,1,8,139,6,null
259,130,7,92.69,35.29,4,10,6,null
260,130,9,89.55,28.57,3,8,132,4,null
261,131,3,101.51,31.25,3,8,68,5,null
262,131,1,99.31,54.55,1,11,140,6,null
263,132,7,96.88,25,2,7,126,1,null
264,132,1,95.86,85.71,2,9,128,6,null
265,133,9,99.96,45.45,2,10,128,5,null
266,133,2,104.59,54,55,5,14,88,6,null
267,134,3,109.16,66.67,3,6,122,6,null
268,134,4,93.91,20,2,5,87,1,null
269,135,23,96.25,44.44,2,11,138,4,null
270,135,8,94.46,46.15,2,9,120,6,null
271,136,1,106.07,50,3,15,108,6,null
272,136,7,97.57,33.33,5,7,80,4,null
273,137,2,104.02,54.55,3,11,115,6,null
274,137,3,98.52,28.57,5,12,54,2,null
275,138,8,97.63,40,3,7,110,4,null
276,138,1,101.98,50,5,11,134,6,null
277,139,2,101.03,54.55,3,13,170,6,null
278,139,1,93.69,35.71,3,12,85,5,null
279,140,1,103.51,40,2,11,57,6,null
280,140,4,100.49,40,2,9,80,4,null
281,141,8,102.64,30,5,14,78,6,null
282,141,2,99.78,40,5,14,109,4,null
283,142,9,90.42,13.64,2,12,52,3,null
284,142,23,85.53,30,4,8,92,6,null
285,143,3,98.96,54.55,1,12,121,6,null
286,143,7,96.99,25,5,12,154,4,null
287,144,1,93.56,50,3,7,60,3,null
288,144,8,96.26,85.71,1,6,170,6,null
289,145,23,99.22,40,410,81,6,null
290,145,3,93.21,33.33,1,7,40,3,null
291,146,8,100.57,50,4,9,120,6,null
292,146,23,90.83,37.5,6,9,46,3,null
293,147,3,92.88,27.78,0,9,40,5,null
294,147,9,99.33,46.15,1,9,132,6,null
295,148,8,89.77,30.77,1,3,40,4,null
296,148,1,97.22,37.5,3,14,156,6,null
297,149,7,92.98,38.46,5,12,90,5,null
298,149,23,93.69,33.33,4,11,80,6,null
299,150,4,104.89,60,6,11,105,3,null
300,150,2,112.34,66.67,10,15,68,6,null
301,151,9,98.81,55.56,2,15,81,5,null
302,151,1,100.08,37.5,7,15,167,6,null
303,152,23,95.21,28.57,2,6,16,2,null
304,152,2,109.67,46.15,5,10,130,6,null
305,153,1,101.24,46.15,6,11,81,6,null
306,153,2,96.82,36.36,5,15,144,4,null

307,154,142,80.49,20,0,2,76,1,null
308,154,117,94.31,46,3,2,72,6,null
309,155,143,84.28,43,1,3,106,6,null
310,155,144,61.11,0,0,0,0,0,null
311,156,127,88.07,40,2,4,70,6,null
312,156,128,83.49,25,1,1,170,3,null
313,157,165,90.86,46,3,3,32,6,null
314,157,107,84.65,40,2,1,94,4,null
315,158,129,76.42,0,1,2,0,0,null
316,158,130,86.71,46,2,3,126,6,null
317,159,72,115.92,46,5,6,100,6,null
318,159,162,94.88,40,2,4,120,2,null
319,160,157,82.21,25,1,4,86,3,null
320,160,158,86.71,38,2,6,32,6,null
321,161,163,83.84,10,0,5,32,1,null
322,161,164,86.57,40,1,5,71,6,null
323,162,134,84.56,60,1,5,100,6,null
324,162,75,83.08,10,0,3,32,1,null
